ID,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
19,ARPO_InvPla_101,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,5,300.0
20,ARPO_InvPla_101,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,2,5.0
21,ARPO_InvPla_101,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,2,5.0
22,ARPO_InvPla_101,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
23,ARPO_InvPla_101,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
24,ARPO_InvPla_101,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
25,ARPO_InvPla_101,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
26,ARPO_InvPla_101,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
27,ARPO_InvPla_101,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
28,ARPO_InvPla_101,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
29,ARPO_InvPla_102,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,2,5.0
30,ARPO_InvPla_102,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,4,75.0
31,ARPO_InvPla_102,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
32,ARPO_InvPla_102,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
33,ARPO_InvPla_102,ARPOInvPla2011Aug8,eastern baccharis,Baccharis halimifolia,2,5.0
34,ARPO_InvPla_102,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,1,0.5
35,ARPO_InvPla_102,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,3,30.0
36,ARPO_InvPla_102,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,2,5.0
37,ARPO_InvPla_102,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,1,0.5
38,ARPO_InvPla_102,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
39,ARPO_InvPla_102,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
40,ARPO_InvPla_102,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
41,ARPO_InvPla_102,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,1,0.5
42,ARPO_InvPla_102,ARPOInvPla2019Jun24,black locust,Robinia pseudoacacia,2,5.0
43,ARPO_InvPla_102,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,2,5.0
44,ARPO_InvPla_102,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,4,75.0
45,ARPO_InvPla_103,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
46,ARPO_InvPla_103,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
47,ARPO_InvPla_103,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,2,5.0
48,ARPO_InvPla_103,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
49,ARPO_InvPla_103,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
50,ARPO_InvPla_103,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
51,ARPO_InvPla_103,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
52,ARPO_InvPla_104,ARPOInvPla2006Aug30,osage orange,Maclura pomifera,3,30.0
53,ARPO_InvPla_104,ARPOInvPla2006Aug30,alligatorweed,Alternanthera philoxeroides,1,0.5
54,ARPO_InvPla_104,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,2,5.0
55,ARPO_InvPla_104,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,1,0.5
56,ARPO_InvPla_104,ARPOInvPla2019Jun24,eastern baccharis,Baccharis halimifolia,1,0.5
57,ARPO_InvPla_104,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
58,ARPO_InvPla_104,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,2,5.0
59,ARPO_InvPla_104,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
60,ARPO_InvPla_104,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,3,30.0
61,ARPO_InvPla_104,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
62,ARPO_InvPla_104,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
63,ARPO_InvPla_104,ARPOInvPla2006Aug30,wartremoving herb,Murdannia keisak,2,5.0
64,ARPO_InvPla_104,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
65,ARPO_InvPla_104,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
66,ARPO_InvPla_104,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
67,ARPO_InvPla_104,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,2,5.0
68,ARPO_InvPla_104,ARPOInvPla2011Aug8,narrowleaf cattail,Typha angustifolia,3,30.0
69,ARPO_InvPla_104,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,4,75.0
70,ARPO_InvPla_104,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,2,5.0
71,ARPO_InvPla_105,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,3,30.0
72,ARPO_InvPla_105,ARPOInvPla2006Aug30,alligatorweed,Alternanthera philoxeroides,2,5.0
73,ARPO_InvPla_105,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,2,5.0
74,ARPO_InvPla_105,ARPOInvPla2006Aug30,eastern baccharis,Baccharis halimifolia,3,30.0
75,ARPO_InvPla_105,ARPOInvPla2019Jun24,eastern baccharis,Baccharis halimifolia,3,30.0
76,ARPO_InvPla_105,ARPOInvPla2011Aug8,eastern baccharis,Baccharis halimifolia,3,30.0
77,ARPO_InvPla_105,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,3,30.0
78,ARPO_InvPla_105,ARPOInvPla2019Jun24,bald brome. spiked brome,Bromus racemosus,1,0.5
79,ARPO_InvPla_105,ARPOInvPla2019Jun24,Bermudagrass,Cynodon dactylon,4,75.0
80,ARPO_InvPla_105,ARPOInvPla2015Jul7,Bermudagrass,Cynodon dactylon,2,5.0
81,ARPO_InvPla_105,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,2,5.0
82,ARPO_InvPla_105,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
83,ARPO_InvPla_105,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,4,75.0
84,ARPO_InvPla_105,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
85,ARPO_InvPla_105,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
86,ARPO_InvPla_105,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
87,ARPO_InvPla_105,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
88,ARPO_InvPla_105,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
89,ARPO_InvPla_105,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
90,ARPO_InvPla_105,ARPOInvPla2011Aug8,narrowleaf cattail,Typha angustifolia,2,5.0
91,ARPO_InvPla_105,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,4,75.0
92,ARPO_InvPla_105,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,1,0.5
93,ARPO_InvPla_106,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,2,5.0
94,ARPO_InvPla_106,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
95,ARPO_InvPla_106,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
96,ARPO_InvPla_106,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
97,ARPO_InvPla_106,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
98,ARPO_InvPla_106,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,2,5.0
99,ARPO_InvPla_106,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,2,5.0
100,ARPO_InvPla_106,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
101,ARPO_InvPla_106,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
102,ARPO_InvPla_106,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
103,ARPO_InvPla_106,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,3,30.0
104,ARPO_InvPla_106,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,3,30.0
105,ARPO_InvPla_106,ARPOInvPla2006Aug30,multiflora rose,Rosa multiflora,1,0.5
106,ARPO_InvPla_106,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,1,0.5
107,ARPO_InvPla_106,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,2,5.0
108,ARPO_InvPla_106,ARPOInvPla2019Jun24,black locust,Robinia pseudoacacia,1,0.5
109,ARPO_InvPla_107,ARPOInvPla2006Aug30,osage orange,Maclura pomifera,3,30.0
110,ARPO_InvPla_107,ARPOInvPla2006Aug30,alligatorweed,Alternanthera philoxeroides,2,5.0
111,ARPO_InvPla_107,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,2,5.0
112,ARPO_InvPla_107,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
113,ARPO_InvPla_107,ARPOInvPla2006Aug30,eastern baccharis,Baccharis halimifolia,3,30.0
114,ARPO_InvPla_107,ARPOInvPla2011Aug8,eastern baccharis,Baccharis halimifolia,3,30.0
115,ARPO_InvPla_107,ARPOInvPla2019Jun24,eastern baccharis,Baccharis halimifolia,2,5.0
116,ARPO_InvPla_107,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
117,ARPO_InvPla_107,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
118,ARPO_InvPla_107,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,3,30.0
119,ARPO_InvPla_107,ARPOInvPla2006Aug30,common water hyacinth,Eichhornia crassipes,3,30.0
120,ARPO_InvPla_107,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,2,5.0
121,ARPO_InvPla_107,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
122,ARPO_InvPla_107,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
123,ARPO_InvPla_107,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
124,ARPO_InvPla_107,ARPOInvPla2011Aug8,black locust,Robinia pseudoacacia,2,5.0
125,ARPO_InvPla_108,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
126,ARPO_InvPla_108,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
127,ARPO_InvPla_108,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,3,30.0
128,ARPO_InvPla_108,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
129,ARPO_InvPla_108,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,1,0.5
130,ARPO_InvPla_108,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
131,ARPO_InvPla_108,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
132,ARPO_InvPla_108,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
133,ARPO_InvPla_108,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
134,ARPO_InvPla_108,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
135,ARPO_InvPla_108,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
136,ARPO_InvPla_108,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
137,ARPO_InvPla_108,ARPOInvPla2019Jun24,multiflora rose,Rosa multiflora,1,0.5
138,ARPO_InvPla_108,ARPOInvPla2015Jul7,multiflora rose,Rosa multiflora,2,5.0
139,ARPO_InvPla_108,ARPOInvPla2019Jun24,black locust,Robinia pseudoacacia,3,30.0
140,ARPO_InvPla_108,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,2,5.0
141,ARPO_InvPla_108,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,3,30.0
142,ARPO_InvPla_108,ARPOInvPla2011Aug8,black locust,Robinia pseudoacacia,2,5.0
143,ARPO_InvPla_109,ARPOInvPla2019Jun24,Orchardgrass,Dactylis glomerata,2,5.0
144,ARPO_InvPla_109,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,3,30.0
145,ARPO_InvPla_109,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,1,0.5
146,ARPO_InvPla_109,ARPOInvPla2006Aug30,common water hyacinth,Eichhornia crassipes,3,30.0
147,ARPO_InvPla_109,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,2,5.0
148,ARPO_InvPla_109,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
149,ARPO_InvPla_109,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
150,ARPO_InvPla_109,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
151,ARPO_InvPla_109,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,4,75.0
152,ARPO_InvPla_109,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
153,ARPO_InvPla_109,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,2,5.0
154,ARPO_InvPla_109,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
155,ARPO_InvPla_109,ARPOInvPla2015Jul7,Chinaberrytree,Melia azedarach,4,75.0
156,ARPO_InvPla_109,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
157,ARPO_InvPla_109,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
158,ARPO_InvPla_109,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,3,30.0
159,ARPO_InvPla_109,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,4,75.0
160,ARPO_InvPla_109,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,3,30.0
161,ARPO_InvPla_109,ARPOInvPla2011Aug8,black locust,Robinia pseudoacacia,4,75.0
162,ARPO_InvPla_109,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,4,75.0
163,ARPO_InvPla_109,ARPOInvPla2019Jun24,black locust,Robinia pseudoacacia,3,30.0
164,ARPO_InvPla_109,ARPOInvPla2015Jul7,Johnsongrass,Sorghum halepense,1,0.5
165,ARPO_InvPla_109,ARPOInvPla2006Aug30,common mullein,Verbascum thapsus,1,0.5
166,ARPO_InvPla_11,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,3,30.0
167,ARPO_InvPla_11,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
168,ARPO_InvPla_11,ARPOInvPla2011Aug8,eastern baccharis,Baccharis halimifolia,3,30.0
169,ARPO_InvPla_11,ARPOInvPla2006Aug30,eastern baccharis,Baccharis halimifolia,2,5.0
170,ARPO_InvPla_11,ARPOInvPla2011Aug8,Bermudagrass,Cynodon dactylon,3,30.0
171,ARPO_InvPla_11,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,2,5.0
172,ARPO_InvPla_11,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
173,ARPO_InvPla_11,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,3,30.0
174,ARPO_InvPla_11,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,2,5.0
175,ARPO_InvPla_11,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
176,ARPO_InvPla_11,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,1,0.5
177,ARPO_InvPla_11,ARPOInvPla2006Aug30,Johnsongrass,Sorghum halepense,2,5.0
178,ARPO_InvPla_11,ARPOInvPla2011Aug8,narrowleaf cattail,Typha angustifolia,5,300.0
179,ARPO_InvPla_11,ARPOInvPla2006Aug30,narrowleaf cattail,Typha angustifolia,6,750.0
180,ARPO_InvPla_11,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,5,300.0
181,ARPO_InvPla_110,ARPOInvPla2015Jul7,alligatorweed,Alternanthera philoxeroides,1,0.5
182,ARPO_InvPla_110,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
183,ARPO_InvPla_110,ARPOInvPla2019Jun24,Bermudagrass,Cynodon dactylon,1,0.5
184,ARPO_InvPla_110,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,3,30.0
185,ARPO_InvPla_110,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
186,ARPO_InvPla_110,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
187,ARPO_InvPla_110,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
188,ARPO_InvPla_110,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,4,75.0
189,ARPO_InvPla_110,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
190,ARPO_InvPla_110,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
191,ARPO_InvPla_110,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,3,30.0
192,ARPO_InvPla_110,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,2,5.0
193,ARPO_InvPla_110,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
194,ARPO_InvPla_110,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
195,ARPO_InvPla_110,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,4,75.0
196,ARPO_InvPla_110,ARPOInvPla2011Aug8,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
197,ARPO_InvPla_110,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,3,30.0
198,ARPO_InvPla_110,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,2,5.0
199,ARPO_InvPla_111,ARPOInvPla2011Aug8,alligatorweed,Alternanthera philoxeroides,2,5.0
200,ARPO_InvPla_111,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
201,ARPO_InvPla_111,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
202,ARPO_InvPla_111,ARPOInvPla2011Aug8,common water hyacinth,Eichhornia crassipes,4,75.0
203,ARPO_InvPla_111,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,3,30.0
204,ARPO_InvPla_111,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,2,5.0
205,ARPO_InvPla_111,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
206,ARPO_InvPla_111,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
207,ARPO_InvPla_111,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,3,30.0
208,ARPO_InvPla_111,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
209,ARPO_InvPla_111,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,1,0.5
210,ARPO_InvPla_111,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
211,ARPO_InvPla_111,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,2,5.0
212,ARPO_InvPla_111,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,2,5.0
213,ARPO_InvPla_111,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,2,5.0
214,ARPO_InvPla_111,ARPOInvPla2011Aug8,narrowleaf cattail,Typha angustifolia,2,5.0
215,ARPO_InvPla_112,ARPOInvPla2011Aug8,Chinese privet,Ligustrum sinense,3,30.0
216,ARPO_InvPla_112,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
217,ARPO_InvPla_112,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
218,ARPO_InvPla_112,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,3,30.0
219,ARPO_InvPla_112,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,2,5.0
220,ARPO_InvPla_112,ARPOInvPla2011Aug8,Japanese honeysuckle,Lonicera japonica,2,5.0
221,ARPO_InvPla_112,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,2,5.0
222,ARPO_InvPla_112,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
223,ARPO_InvPla_112,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
224,ARPO_InvPla_112,ARPOInvPla2006Aug30,black locust,Robinia pseudoacacia,2,5.0
225,ARPO_InvPla_112,ARPOInvPla2015Jul7,black locust,Robinia pseudoacacia,2,5.0
226,ARPO_InvPla_113,ARPOInvPla2006Aug30,osage orange,Maclura pomifera,3,30.0
227,ARPO_InvPla_113,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
228,ARPO_InvPla_113,ARPOInvPla2006Aug30,alligatorweed,Alternanthera philoxeroides,2,5.0
229,ARPO_InvPla_113,ARPOInvPla2006Aug30,eastern baccharis,Baccharis halimifolia,2,5.0
230,ARPO_InvPla_113,ARPOInvPla2015Jul7,eastern baccharis,Baccharis halimifolia,2,5.0
231,ARPO_InvPla_113,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
232,ARPO_InvPla_113,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
233,ARPO_InvPla_113,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,3,30.0
234,ARPO_InvPla_113,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,2,5.0
235,ARPO_InvPla_113,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
236,ARPO_InvPla_113,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,1,0.5
237,ARPO_InvPla_113,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,1,0.5
238,ARPO_InvPla_113,ARPOInvPla2019Jun24,hardy orange. trifoliate orange,Poncirus trifoliata,2,5.0
239,ARPO_InvPla_113,ARPOInvPla2015Jul7,hardy orange. trifoliate orange,Poncirus trifoliata,1,0.5
240,ARPO_InvPla_113,ARPOInvPla2015Jul7,Johnsongrass,Sorghum halepense,1,0.5
241,ARPO_InvPla_113,ARPOInvPla2006Aug30,Johnsongrass,Sorghum halepense,1,0.5
242,ARPO_InvPla_114,ARPOInvPla2019Jun24,osage orange,Maclura pomifera,3,30.0
243,ARPO_InvPla_114,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,1,0.5
244,ARPO_InvPla_114,ARPOInvPla2019Jun24,common water hyacinth,Eichhornia crassipes,2,5.0
245,ARPO_InvPla_114,ARPOInvPla2015Jul7,Chinese privet,Ligustrum sinense,1,0.5
246,ARPO_InvPla_114,ARPOInvPla2019Jun24,Chinese privet,Ligustrum sinense,1,0.5
247,ARPO_InvPla_114,ARPOInvPla2006Aug30,Chinese privet,Ligustrum sinense,2,5.0
248,ARPO_InvPla_114,ARPOInvPla2019Jun24,Japanese honeysuckle,Lonicera japonica,1,0.5
249,ARPO_InvPla_114,ARPOInvPla2006Aug30,Japanese honeysuckle,Lonicera japonica,2,5.0
250,ARPO_InvPla_114,ARPOInvPla2015Jul7,Japanese honeysuckle,Lonicera japonica,2,5.0
251,ARPO_InvPla_114,ARPOInvPla2006Aug30,hardy orange. trifoliate orange,Poncirus trifoliata,3,30.0
252,ARPO_InvPla_114,ARPOInvPla2019Jun24,narrowleaf cattail,Typha angustifolia,2,5.0
253,ARPO_InvPla_114,ARPOInvPla2015Jul7,narrowleaf cattail,Typha angustifolia,4,75.0
254,ARPO_InvPla_115,ARPOInvPla2006Aug30,alligatorweed,Alternanthera philoxeroides,2,5.0
255,ARPO_InvPla_115,ARPOInvPla2019Jun24,alligatorweed,Alternanthera philoxeroides,2,5.0
